ru;en;kcal;catRu;catEn;gr
Паштет из Тунца;Tuna Pate;107;Завтрак;Breakfast;50
Паштет из Фуа-Гра с Инжиром;Foie-Gras Pate with Figs;480;Завтрак;Breakfast;
Паштет Печеночный;Liver Pate;310;Завтрак;Breakfast;40
Пельмени;Dumplings;220;Горячее;Main Courses;
Пельмени Домашние с Цыпленком;Homemade Dumplings with Chicken;194;Горячее;Main Courses;140
Пельмени Жареные;Fried Dumplings;260;Горячее;Main Courses;
Пенне с Маслом;Penne with Butter;125;Гарнир;Side Dishes;
Пенне с Рагу из Индейки;Penne with Turkey Ragout;110;Горячее;Main Courses;140
Пенне с Рагу из Телячьих Хвостов;Penne with Veal Tail Ragout;200;Горячее;Main Courses;
Пенне с Томленой Говядиной;Penne with Stewed Beef;350;Горячее;Main Courses;200
Перепела Жареные;Fried Quails;180;Горячее;Main Courses;120
Перепела Запеченные;Baked Quails;240;Горячее;Main Courses;
Перепела на Сковороде;Pan-Seared Quails;180;Горячее;Main Courses;140
Перепелка Жареная;Fried Quail;;Горячее;Main Courses;
Перепёлка Жареная;Roasted Quail;134;Горячее;Main Courses;150
Перепелка Запечённая;Baked Quail;200;Горячее;Main Courses;
Перепелка с Брокколи и Томатами Черри;Quail with Broccoli and Cherry Tomatoes;170;Горячее;Main Courses;
Перец Фаршированный Запеченный в Овощах;Peppers Stuffed Baked in Vegetables;;Горячее;Main Courses;
Перец Фаршированный Курицей;Chicken Stuffed Pepper;150;Горячее;Main Courses;
Персики и Нектарины;Peaches and Nectarines;40;Завтрак;Breakfast;
Перцы Фаршированные Курицей;Bell Peppers Stuffed with Chicken;85;Горячее;Main Courses;150
Перцы Фаршированные Телятиной;Peppers Stuffed with Veal;132;Горячее;Main Courses;150
Перцы Фаршированные Ягненком;Peppers Stuffed with Lamb;160;Горячее;Main Courses;
Перчики Фаршированные;Stuffed Peppers;150;Горячее;Main Courses;
Печёная Молодая Капуста с Соусом из Миндаля;Baked Baby Cabbage with Almond Sauce;125;Гарнир;Side Dishes;100
Печеное Яблоко;Baked Apple;80;Завтрак;Breakfast;75
Печёное Яблоко;Oven Baked Apple;56;Завтрак;Breakfast;100
Печеное Яблоко с Орехами;Baked Apple with Nuts;95;Завтрак;Breakfast;85
Печеный Картофель с Начинками;Baked Potatoes with Toppings;210;Горячее;Main Courses;
Печень;Liver;180;Шашлык;BBQ;150
Печень Жареная с Луком;Fried Liver with Onions;190;Горячее;Main Courses;
Печень с Луком;Liver with Onion;120;Горячее;Main Courses;150
Печень Телячья;Veal Liver;132;Горячее;Main Courses;160
Печень Телячья с Луком;Veal Liver with Onions;130;Горячее;Main Courses;200
Пирожки из Теста Фило с Тунцом;Phyllo Pastries with Tuna;230;Завтрак;Breakfast;50
Пирожки с Луком и Яйцом;Pirozhki with Spring Onions and Eggs;260;Завтрак;Breakfast;50
Пицца;Pizza;250;Горячее;Main Courses;100
Пицца из Цветной Капусты;Cauliflower Pizza;130;Горячая Закуска;Hot Starters;80
Плов;Pilaf;287;Горячее;Main Courses;150
Плов Праздничный;Festive Plov;243;Горячее;Main Courses;150
Плов с Индейкой;Pilaf with Turkey;;Горячее;Main Courses;
Плов с Телятиной;Veal Pilaf;;Горячее;Main Courses;
Пожарские Котлеты;Pozharsky Cutlets;235;Горячее;Main Courses;150
Половина Жареного Цыпленка;Half Roasted Chicken;330;Горячее;Main Courses;
Помело;Pomelo;35;Завтрак;Breakfast;30
Помидоры на Гриле;Grilled Tomatoes;30;Гарнир;Side Dishes;
Помидоры с Бурратой;Tomatoes with Burrata;240;Салаты;Salads;150
Помидоры с Бурратой и Базиликом;Tomatoes with Burrata and Basil;162;Салаты;Salads;150
Помидоры с Бурратой и Рукколой;Tomatoes with Burrata and Rucola;110;Салаты;Salads;120
Помидоры с Красным Луком;Tomatoes with Red Onions;25;Салаты;Salads;
Помидоры с Красным Луком и Базиликом;Tomatoes with Red Onion and Basil;25;Салаты;Salads;120
Помидоры с Красным Луком и Сметаной;Tomatoes with Red Onions and Sour Cream;65;Салаты;Salads;150
Помидоры с Луком и Базиликом;Tomato with Onion and Basil;30;Салаты;Salads;
Попкорн из Креветок;Shrimp Popcorn;180;Закуска;Starters;70
Попкорн из Креветок с Картофелем Пай;Shrimp Popcorn with Potato Pie;150;Закуска;Starters;75
Потрошка Куриные с Беби Картофелем;Chicken Giblets with Baby Potatoes;160;Закуска;Starters;
Поцанела;Panzanella;120;Салаты;Salads;
Почки Телячьи в Томатном Соусе;Veal Kidneys in Tomato Sauce;163;Закуска;Starters;120
Почки Телячьи с Картофельным Пюре;Veal Kidneys with Mashed Potatoes;110;Закуска;Starters;75
Простокваша с Гранолой;Soured Milk with Granola;180;Завтрак;Breakfast;
Пюре из Авокадо;Avocado puree;161;Завтрак;Breakfast;
Пюре из Брокколи и Зеленого Горошка;Broccoli and Green Pea Puree;60;Гарнир;Side Dishes;100
Пюре из Брокколи с Авокадо;Broccoli and Avocado Puree;35;Гарнир;Side Dishes;
Пюре из Тыквы;Pumpkin Puree;45;Гарнир;Side Dishes;
Пюре Картофельное с Мускатом;Mashed Potatoes with Nutmeg;100;Гарнир;Side Dishes;100
Пюре с Жареным Луком Фри;Mashed Potatoes with Fried Onions;;Гарнир;Side Dishes;
Рагу из Индейки;Turkey Ragout;120;Горячее;Main Courses;150
Рагу из Кабачков;Zucchini Ragout;73;Гарнир;Side Dishes;100
Рагу из Молодого Шпината;Baby Spinach Ragout;63;Гарнир;Side Dishes;
Рагу из Стручковой Фасоли в Томатном Соусе;Green Bean Stew with Tomato Sauce;65;Горячая Закуска;Hot Starters;
Рагу из Чечевицы;Lentil Ragout;110;Гарнир;Side Dishes;
Рагу из Шпината;Spinach Ragout;60;Горячее;Main Courses;100
Раки Отварные;Boiled Crayfish;75;Закуска;Starters;100
Рассольник с Телятиной;Rassolnik with Veal;110;Супы;Soups;200
Ребра Ягнёнка Томленые с Картофелем;Stewed Lamb Ribs with Potatoes;75;Закуска;Starters;264
Рёбрышки Ягнёнка Томлёные;Stewed Lamb Ribs;210;;;75
Рибай Стейк;Ribeye Steak;260;Горячее;Main Courses;180
Ризони со Шпинатом;Risoni with Spinach;170;Гарнир;Side Dishes;100
Ризотто с Белым Трюфелем;Risotto with White Truffle;170;Горячее;Main Courses;150
Ризотто с Лангустином;Risotto with Langoustine;150;Горячее;Main Courses;250
Ризотто с Лисичками и Бураттой;Risotto with Chanterelles and Burrata;220;Горячее;Main Courses;
Рийет из Утки;Duck Rillettes;310;Завтрак;Breakfast;
Рис;Rice;120;Гарнир;Side Dishes;100
Рис Жареный с Яйцом и Брокколи;Fried Rice with Egg and Broccoli;120;Гарнир;Side Dishes;100
Рис Жареный с Яйцом и Шпинатом;Fried Rice with Egg and Spinach;;Гарнир;Side Dishes;
Рис Отварной;Boiled Rice;115;Гарнир;Side Dishes;100
Рис Отварной по-Домашнему;Homemade-Style Boiled Rice;130;Гарнир;Side Dishes;
Рис Отварной с Брокколи;Boiled Rice with Broccoli;95;Гарнир;Side Dishes;100
Рис Отварной с Зеленью;Boiled Rice with Greens;57;Гарнир;Side Dishes;
Рис Отварной со Шпинатом;Boiled Rice with Spinach;;Гарнир;Side Dishes;
Рис Припущенный;Steamed Rice;115;Гарнир;Side Dishes;
Рис с Брокколи;Rice with Broccoli;;Гарнир;Side Dishes;
Рис с Вермишелью;Rice with Vermicelli;120;Гарнир;Side Dishes;150
Рис с Овощами;Rice with Vegetables;120;Гарнир;Side Dishes;100
Рисовая Вермишель с Овощами;Rice Vermicelli with Vegetables;125;Гарнир;Side Dishes;
Рисовый Пудинг с Ягодами;Rice Pudding with Berries;123;Завтрак;Breakfast;
Ролл из Огурца со Сливочным Сыром;Cucumber Roll with Cream Cheese;83;Завтрак;Breakfast;50
Ролл из Цукини с Индейкой;Zucchini and Turkey Roll;;;;
Ролл из Цукини с Овощами;Zucchini Roll with Vegetables;70;Завтрак;Breakfast;40
Роллы;Sushi Rolls;170;Холодная Закуска;Cold Starters;50
Ромштекс из Говядины;Beef Rump Steak;230;Горячее;Main Courses;
Ростбиф из Говядины;Roast Beef;200;Горячее;Main Courses;
Ростбиф из Индейки;"Turkey ""Roast Beef""";73;Завтрак;Breakfast;30
Ростбиф из Курицы;Roast Beef Chicken;111;Завтрак;Breakfast;30
Рубленые Котлеты Куриные;Chopped Chicken Cutlets;180;Горячее;Main Courses;150
Руккола с Вяленой Свеклой и Сливой;Rucola with Dried Beetroot and Plum;95;Салаты;Salads;
Руккола с Печеной Свеклой;Rucola with Baked Beetroot;60;Салаты;Salads;
Руккола с Печеной Свеклой и Козьим Сыром;Rucola with Roasted Beets and Goat Cheese;90;Салаты;Salads;120
Руккола с Томатами Черри;Rucola with Cherry Tomatoes;30;Салаты;Salads;130
Руккола с Томатами Черри и Крымским Луком;Rucola with Cherry Tomatoes and Crimean Onions;65;Салаты;Salads;150
Руккола с Томатами Черри и Пармезаном;Rucola with Cherry Tomatoes and Parmesan;60;Салаты;Salads;130
Руккола со Свёклой и Козьим Сыром;Rucola with Beetroot and Goat Cheese;157;Салаты;Salads;100
Рулет из Баклажан;Eggplant Roll;120;Завтрак;Breakfast;30
Рулет из Индейки;Turkey Roll;140;Завтрак;Breakfast;100
Рулет из Целой Утки Запечённый;Baked Duck Roll;210;Горячее;Main Courses;120
Рулет из Цукини с Овощами;Zucchini Roll with Vegetables;70;Завтрак;Breakfast;50
Рулет Куриный;Chicken Roll;200;Завтрак;Breakfast;50
Рулет с Брынзой и Зеленью;Roll with Feta Cheese and Greens;80;;;100
Рулет с Куриным Яйцом и Луком;Roll with Chicken Egg and Onion;180;Горячее;Main Courses;
Рулет с Сёмгой;Salmon Roll;180;Завтрак;Breakfast;80
Рулетики из Баклажан с Помидорами и Огурцами;Eggplant Rolls with Tomatoes and Cucumbers;130;Закуска;Starters;
Рулетики из Печеной Свеклы;Baked Beetroot Rolls;160;Завтрак;Breakfast;40
Рулетики из Цуккини с Сыром и Зеленью;Zucchini Rolls with Cheese and Herbs;120;Закуска;Starters;
Рулетики с Крабом;Crab Rolls;130;Закуска;Starters;75
Рулетики с Сыром и Зеленью;Rolls with Cheese and Herbs;215;Горячая Закуска;Hot Starters;50
Рулетики со Слабосоленой Семгой и Огурцом;Rolls with Lightly Salted Salmon and Cucumber;210;Завтрак;Breakfast;
Рыбец;Shemaya;120;Закуска;Starters;100
Рыбное Ассорти;Assorted Fish;180;Закуска;Starters;120
Рыбное Ассорти под Маринадом;Assorted Fish with Marinade;110;Горячее;Main Courses;150
Рыбные Биточки с Брокколи;Fish Cakes with Broccoli;110;Горячее;Main Courses;150
Рыбные Котлетки на Пару;Steamed Fish Cutlets;120;Горячее;Main Courses;
Рыбные Равиоли;Fish Ravioli;180;Горячее;Main Courses;
Рыбные Тефтели с Овощами;Fish Meatballs with Vegetables;110;Горячее;Main Courses;150
Сазан Жареный;Fried Carp;120;Горячее;Main Courses;50
"Салат ""Берлинский""""";Berlin Salad;140;Салаты;Salads;120
"Салат ""Мимоза""";Mimosa Salad;180;Салаты;Salads;120
Салат Айсберг с Тунцом;Lettuce Salad with Tuna;65;;;120
Салат Армянский;Armenian-Style Salad;80;Салаты;Salads;
Салат Весенний;Spring Salad;100;Салаты;Salads;
Салат Витаминный;"""Vitamin"" Salad";70;Салаты;Salads;150
Салат Витаминный с Красной Капустой;Vitamin Salad with Red Cabbage;40;Салаты;Salads;120
Салат Витаминный с Яблоком;Vitamin Salad with Apple;146;Салаты;Salads;150
Салат Греческий;Greek Salad;130;Салаты;Salads;120
Салат Греческий с Брынзой;Greek Salad with Feta Cheese;;Салаты;Salads;
Салат Гулистан;Gulistan Salad;50;Салаты;Salads;
Салат из Баклажан с Перцем и Томатами;Eggplant Salad with Peppers and Tomatoes;90;Салаты;Salads;120
Салат из Молодой Капусты с Зелёным Горошком;Young Cabbage Salad with Green Peas;;Салаты;Salads;
Салат из Молодой Капусты с Кунжутом;Young Cabbage Salad with Sesame Seeds;112;Салаты;Salads;
Салат из Молодой Капусты с Овощами;Young Cabbage Salad with Vegetables;40;Салаты;Salads;120
Салат из Молодой Капусты с Огурцом и Зеленью;Young Cabbage Salad with Cucumber and Greens;40;Салаты;Salads;120
Салат из Молодой Капусты с Огурцом и Кунжутом;Young Cabbage Salad with Cucumber and Sesame;;Салаты;Salads;
Салат из Молодой Капусты с Рукколой;Young Cabbage Salad with Rucola;25;Салаты;Salads;150
Салат из Моркови с Яблоком;Carrot and Apple Salad;45;Салаты;Salads;
Салат из Огурца с Яйцом и Сметаной;Cucumber Salad with Egg and Sour Cream;;Салаты;Salads;
Салат из Огурцов с Красным Луком и Йогуртом;Cucumber Salad with Red Onion and Yogurt;65;Салаты;Salads;
Салат из Огурцов с Красным Луком, Йогуртом и Зеленью;Cucumber Salad with Red Onion, Yogurt and Herbs;70;Салаты;Salads;
Салат из Паровых Овощей;Steamed Vegetable Salad;60;Салаты;Salads;
Салат из Печеной Пекинской Капустой;Baked Chinese Cabbage Salad;90;Салаты;Salads;
Салат из Печеной Свеклы и Грецким Орехом;Roasted Beetroot and Walnut Salad;208;Салаты;Salads;150
Салат из Печеной Свеклы с Инжиром;Baked Beetroot Salad with Figs;100;Салаты;Salads;
Салат из Печеной свеклы с Козьим Сыром;Roasted Beetroot Salad with Goat Cheese;120;Салаты;Salads;
Салат из Печеной Свеклы с Пекинской Капустой;Roasted Beetroot Salad with Chinese Cabbage;122;Салаты;Salads;
Салат из Печеной Свеклы с Пекинской Капустой и Ароматным Маслом;Roasted Beetroot Salad with Chinese Cabbage and Fragrant Oil;70;Салаты;Salads;120
Салат из Печеной Свёклы с Рукколой и Брынзой;Roasted Beetroot Salad with Rucola and Feta Cheese;;Салаты;Salads;
Салат из Печеной Свёклы с Рукколой и Козьим Сыром;Roasted Beetroot Salad with Rucola and Goat Cheese;112;Салаты;Salads;
Салат из Печеных Баклажан с Томатами;Baked Eggplant Salad with Tomatoes;;Салаты;Salads;
Салат из Печеных Баклажан с Томатами и Луком;Baked Eggplant Salad with Tomatoes and Onions;55;Салаты;Salads;
Салат из Помидор с Красным Луком;Tomato and Red Onion Salad;30;Салаты;Salads;150
Салат из Рукколы с Перепелкой и Томатами Черри;Rucola Salad with Quail and Cherry Tomatoes;90;Салаты;Salads;120
Салат из Свежей Капусты с Кукурузой и Яйцом;Fresh Cabbage Salad with Corn and Egg;80;Салаты;Salads;120
Салат из Свежей Капусты с Кунжутом;Fresh Cabbage Salad with Sesame Seeds;;Салаты;Salads;
Салат из Свежей Капусты с Огурцом и Кунжутом;Fresh Cabbage Salad with Cucumber and Sesame;70;Салаты;Salads;120
Салат из Свежих Овощей;Fresh Vegetable Salad;17;Салаты;Salads;150
Салат из Свежих Овощей с Ароматным Маслом;Fresh Vegetable Salad with Fragrant Oil;55;Салаты;Salads;120
Салат из Свежих Овощей с Оливковым Маслом;Fresh Vegetable Salad with Olive Oil;80;Салаты;Salads;120
Салат из Свежих Овощей со Сметаной;Fresh Vegetable Salad with Sour Cream;;Салаты;Salads;
Салат из Свеклы с Оливковым Маслом;Beetroot Salad with Olive Oil;116;Салаты;Salads;
Салат из Томатов с Базиликом и Сыром Страчателла;Tomato Salad with Basil and Stracciatella Cheese;;Салаты;Salads;
Салат из Томатов с Моцареллой и Базиликом;Tomato Salad with Mozzarella and Basil;110;Салаты;Salads;120
Салат из Томатов с Моцареллой и Песто;Tomato Salad with Mozzarella and Pesto;130;Салаты;Salads;120
Салат из Томатов с Сыром Страчателла;Tomato Salad with Stracciatella Cheese;110;Салаты;Salads;120
Салат из Хрустящих Баклажан с Томатом;Crispy Eggplant Salad with Tomato;130;Салаты;Salads;130
Салат Капрезе с Песто;Caprese Salad with Pesto;169;Салаты;Salads;
Салат Коул-Слоу;Coleslaw Salad;130;Салаты;Salads;150
Салат Нисуаз;Nicoise Salad;95;Салаты;Salads;130
Салат Нисуаз с Тунцом;Nicoise Salad with Tuna;210;Салаты;Salads;
Салат Овощной с Авокадо;Vegetable Salad with Avocado;115;Салаты;Salads;150
Салат Овощной с Авокадо и Зеленью;Vegetable Salad with Avocado and Greens;90;Салаты;Salads;150
Салат Овощной с Зеленью;Vegetable Salad with Herbs;60;Салаты;Salads;150
Салат Овощной с Йогуртом;Vegetable Salad with Yogurt;45;Салаты;Salads;120
Салат Овощной с Капустой;Vegetable Salad with Cabbage;40;Салаты;Salads;
Салат Окрошечный на Кефире;Okroshka Style Salad with Kefir;50;Салаты;Salads;
Салат Панцанелла;Panzanella Salad;130;Салаты;Salads;150
Салат Перепелкой, Рукколой и Томатами Черри;Salad with Quail, Rucola and Cherry Tomatoes;;;;
Салат Пикантный;Piquant Salad;60;Салаты;Salads;
Салат с Авокадо и Камчатским Крабом;Avocado and Kamchatka Crab Salad;150;Салаты;Salads;
Салат с Айсбергом и Отварной Курицей;Iceberg Lettuce and Boiled Chicken Salad;110;Салаты;Salads;120
Салат с Артишоками;Artichokes Salad;90;Салаты;Salads;150
Салат с Артишоками и Кенийской Фасолью;Artichokes and Kenyan Beans Salad;90;Салаты;Salads;
Салат с Артишоками и Оливками;Artichokes and Olives Salad;97;Салаты;Salads;130
Салат с Артишоками и Тунцом;Artichoke and Tuna Salad;148;Салаты;Salads;120
Салат с Артишоками и Фасолью;Artichoke and Bean Salad;140;Салаты;Salads;
Салат с Баклажанами и Зеленью;Eggplant Salad with Greens;95;Салаты;Salads;
Салат с Говядиной, Кенийской Фасолью и Овощами;Beef Salad with Kenyan Beans and Vegetables;140;Салаты;Salads;
Салат с Зеленой Фасолью;Green Bean Salad;100;Салаты;Salads;
Салат с Кальмаром, Огурцом и Ореховым Соусом;Salad with Squid, Cucumber and Walnut Sauce;120;Салаты;Salads;120
Салат с Капустой и Зеленью;Cabbage and Greens Salad;35;Салаты;Salads;
Салат с Капустой и Огурцом;Cabbage and Cucumber Salad;40;Салаты;Salads;
Салат с Капустой и Яблоком;Cabbage and Apple Salad;55;Салаты;Salads;
Салат с Капустой, Огурцом и Шпинатом;Cabbage, Cucumber and Spinach Salad;50;Салаты;Salads;
Салат с Кремом из Свеклы, Грушей и Козьим Сыром;Beetroot Cream, Pears and Goat Cheese Salad;182;Салаты;Salads;100
Салат с Миксом из Томатов;Tomato Mix Salad;35;Салаты;Salads;
Салат с Молодой Капустой, Огурцом и Курицей;Young Cabbage, Cucumber and Chicken Salad;130;Салаты;Salads;
Салат с Моцареллой;Salad with Mozzarella;200;Салаты;Salads;
Салат с Овощами Гриль и Песто;Grilled Vegetables and Pesto Salad;120;Салаты;Salads;
Салат с Овощами Гриль, Помидорами Черри и Рукколой;Grilled Vegetables, Cherry Tomatoes and Rucola Salad;140;Салаты;Salads;
Салат с Ростбифом из Говядины;Roast Beef Salad;200;Салаты;Salads;
Салат с Рукколой;Rucola Salad;90;Салаты;Salads;
Салат с Рукколой и Телятиной;Rucola and Veal Salad;150;Салаты;Salads;
Салат с Рукколой, Печеной Свёклой и Козьим Сыром;Rucola, Roasted Beetroot, and Goat Cheese Salad;90;Салаты;Salads;120
Салат с Рукколой, Печеной Тыквой и Козьим Сыром;Rucola, Roasted Pumpkin, and Goat Cheese Salad;120;Салаты;Salads;150
Салат с Сыром Халуми;Halloumi Cheese Salad;160;Салаты;Salads;
Салат с Телятиной и Фасолью;Veal and Bean Salad;120;Салаты;Salads;120
Салат с Телячьим Языком и Редькой;Veal Tongue and Radish Salad;160;Салаты;Salads;
Салат с Томатами и Авокадо;Tomato and Avocado Salad;120;Салаты;Salads;
Салат с Томатами и Брокколи;Tomatoes and Broccoli Salad;45;Салаты;Salads;
Салат с Тунцом;Tuna Salad;90;Салаты;Salads;150
Салат с Фасолью и Томатами;Beans and Tomatoes Salad;110;Салаты;Salads;
Салат с Фасолью и Тунцом;Bean and Tuna Salad;130;Салаты;Salads;
Салат с Фасолью, Рукколой и Томатами;Beans, Rucola and Tomatoes Salad;115;Салаты;Salads;
Салат с Фунчозой и Овощами;Glass Noodle Salad with Vegetables;120;Салаты;Salads;150
Салат со Свеклой и Инжиром;Beetroot and Fig Salad;110;Салаты;Salads;
Салат со Свеклой и Черносливом;Beetroot and Prunes Salad;73;Салаты;Salads;130
Салат со Свеклой, Огурцом и Зеленью;Beetroot, Cucumber and Herbs Salad;55;Салаты;Salads;
Салат со Свеклой, Огурцом и Красным Луком;Beetroot, Cucumber and Red Onion Salad;50;Салаты;Salads;
Салат со Свеклой, Рукколой и Козьим Сыром;Beetroot, Rucola and Goat Cheese Salad;100;Салаты;Salads;
Салат со Шпинатом и Огурцом;Spinach and Cucumber Salad;20;Салаты;Salads;120
Салат со Шпинатом Редисом и Огурцом;Spinach, Radish, and Cucumber Salad;150;Салаты;Salads;40
Салат со Шпинатом, Огурцом и Сметаной;Spinach, Cucumber and Sour Cream Salad;70;Салаты;Salads;150
Салат Табуле;Tabbouleh Salad;90;Салаты;Salads;130
Салат Ташкент;Tashkent Salad;145;Салаты;Salads;150
Салат Ташкент с Телячьим Языком;Tashkent Salad with Veal Tongue;;Салаты;Salads;
Салат Тбилиси;Tbilisi Salad;140;Салаты;Salads;120
Салат Тбилиси с Говядиной;Tbilisi Salad with Beef;;Салаты;Salads;
Салат Фунчоза;Funchoza Salad;;Салаты;Salads;
Салат Фунчоза с Овощами;Funchoza Salad with Vegetables;82;Салаты;Salads;
Салат Чука с Овощами;Chuka Salad with Vegetables;60;Салаты;Salads;130
Самса;Samsa;310;Закуска;Starters;50
Самса с Зеленью;Samsa with Greens;190;Горячая Закуска;Hot Starters;50
Самса с Тыквой;Samsa with Pumpkin;180;Горячая Закуска;Hot Starters;50
Самса с Ягнёнком;Samsa with Lamb;262;Горячая Закуска;Hot Starters;50
Сациви;Satsivi;285;Закуска;Starters;120
Сациви из Курицы;Chicken Satsivi;180;Горячее;Main Courses;120
Сациви из Перепелок;Quail Satsivi;200;Горячее;Main Courses;
Сациви из Цыплят;Chicken Satsivi;190;Горячее;Main Courses;160
Сашими;Sashimi;100;Холодная Закуска;Cold Starters;50
Сашими из Желтохвоста;Yellowtail Sashimi;146;Холодная Закуска;Cold Starters;50
Сашими из Тунца;Tuna Sashimi;100;Холодная Закуска;Cold Starters;50
Свежие Овощи и Зелень;Fresh Vegetables and Greens;20;Закуска;Starters;120
Свекла с Грецким Орехом;Beetroot with Walnuts;130;Салаты;Salads;120
Свекла с Козьим Сыром;Beetroot with Goat Cheese;120;Салаты;Salads;
Свекольник;Beetroot Soup;40;Супы;Soups;200
Свекольник Холодный;Cold Beetroot Soup;45;Супы;Soups;200
Свекольный Салат;Beetroot Salad;70;Салаты;Salads;
Свекольный Салат по-Грузински;Beetroot Salad Georgian-style;72;Салаты;Salads;150
Свекольный Салат с Грецким Орехом;Beetroot Salad with Walnuts;91;Салаты;Salads;100
Свекольный Салат с Красным Луком и Грецким Орехом;Beetroot Salad with Red Onions and Walnuts;161;Салаты;Salads;150
Свекольный Салат с Фасолью и Шпинатом;Beetroot Salad with Beans and Spinach;95;Салаты;Salads;150
Селёдка под Шубой;Herring under a Fur Coat;170;Салаты;Salads;120
Сельдь и Килька Пряного Посола;Spicy-Salted Herring and Sprat;190;Закуска;Starters;100
Сельдь под шубой;Dressed herring;150;Салаты;Salads;120
Сёмга;Salmon;200;Горячее;Main Courses;
Сёмга в Сливочном Соусе;Salmon with Creamy Sauce;220;Горячее;Main Courses;
Сёмга Слабой Соли;Lightly Salted Salmon;200;Завтрак;Breakfast;45
Сёмга Слабосоленая;Lightly Salted Salmon;185;Завтрак;Breakfast;
Сёмга Слабосоленая с Авокадо;Lightly Salted Salmon with Avocado;180;Завтрак;Breakfast;
Сёмга со Шпинатом;Salmon with Spinach;210;Горячее;Main Courses;
Сёмга Терияки;Salmon Teriyaki;180;Горячее;Main Courses;150
Семечки из Ягнёнка;Lamb Bites;210;;;75
Сибас в Соли;Sea Bass in Salt;180;Горячее;Main Courses;150
Сибас в Соусе с Белым Вином;Sea Bass with White Wine Sauce;210;Горячее;Main Courses;150
Сибас Гриль;Grilled Sea Bass;130;Горячее;Main Courses;
Сибас Жареный;Fried Sea Bass;140;Горячее;Main Courses;150
Сибас Жареный в Панировке;Breaded Fried Sea Bass;170;Горячее;Main Courses;150
Сибас Запеченный;Oven Baked Sea Bass;120;Горячее;Main Courses;
Сибас Запеченный в Соли;Sea Bass Baked in Salt;124;Горячее;Main Courses;160
Сибас Запечённый со Шпинатным Соусом;Baked Sea Bass with Spinach Sauce;120;Горячее;Main Courses;150
Сибас на Пару;Steamed Sea Bass;115;Горячее;Main Courses;250
Сибас на Пару с Соусом из Тушеных Овощей;Steamed Sea Bass with Stewed Vegetable Sauce;;Горячее;Main Courses;
Сибас на Пару Целиком;Steamed Seabass Whole;115;Горячее;Main Courses;200
Сибас по-Средиземноморски;Mediterranean-Style Sea Bass;150;Горячее;Main Courses;
Сибас со Спаржей на пару;Steamed Sea Bass with Asparagus;120;Горячее;Main Courses;
Сибас Су-вид;Sea Bass Sous-vide;;Горячее;Main Courses;
Скрембл;Scrambled Eggs;150;Завтрак;Breakfast;150
Скрембл из Перепелинных Яиц;Scrambled Quail Eggs;150;Завтрак;Breakfast;150
Скрембл с Помидорами;Scrambled Eggs with Tomatoes;120;Завтрак;Breakfast;150
Скрембл с Помидорами и Зеленью;Scramble with Tomatoes and Herbs;140;Завтрак;Breakfast;130
Скрембл с Томатами;Scramble with Tomatoes;170;Завтрак;Breakfast;150
Скрэмбл;Scramble;150;Завтрак;Breakfast;
Скрэмбл Белковый с Томатом;Egg White Scramble with Tomatoes;60;Завтрак;Breakfast;
Скрэмбл с Томатами;Scrambled Eggs with Tomatoes;100;Завтрак;Breakfast;150
Скрэмбл с Томатом и Зеленью;Scrambled Eggs with Tomatoes and Greens;135;Завтрак;Breakfast;
Скумбрия Холодного Копчения;Cold?Smoked Mackerel;220;Закуска;Starters;100
Слабосоленый Лосось с Авокадо;Lightly Salted Salmon with Avocado;180;Закуска;Starters;
Сладкие Томаты с Овощной Сальсой;Sweet Tomatoes with Vegetable Salsa;25;Салаты;Salads;
Слива;Plum;50;Завтрак;Breakfast;30
Слива Запеченная;Baked Plum;70;Завтрак;Breakfast;
Соленья;Assorted Pickles;15;Закуска;Starters;100
Соленья и Маринады;Pickles and Marinades;15;Закуска;Starters;120
Солянка;Solyanka;150;Супы;Soups;200
Солянка из Молодой Капусты с Сосисками;Young Cabbage Solyanka with Sausages;130;Горячее;Main Courses;150
Солянка Мясная;Meat Solyanka;120;Супы;Soups;200
Солянка Сборная Мясная;Assorted Meat Solyanka;110;Супы;Soups;200
Сосиски в Тесте;Sausage Bread Rolls;310;Закуска;Starters;
Спагетти Арабьята;Spaghetti Arrabiata;120;Горячее;Main Courses;
Спагетти Болоньезе;Spaghetti Bolognese;190;Горячее;Main Courses;
Спагетти Вонголе;Spaghetti Vongole;134;Горячее;Main Courses;150
Спагетти Качо э Пепе;Spaghetti Cacio e Pepe;360;Горячее;Main Courses;150
Спагетти Песто;Spaghetti Pesto;190;Горячее;Main Courses;150
Спагетти Помодоро;Spaghetti Pomodoro;120;Горячее;Main Courses;200
Спагетти с Белым Трюфелем;Spaghetti with White Truffle;190;Горячее;Main Courses;200
Спагетти с Креветками и Кальмарами;Spaghetti with Shrimp and Squid;;;;
Спагетти с Креветками и Шпинатом;Spaghetti with Shrimp and Spinach;;Горячее;Main Courses;
Спагетти с Маслом;Spaghetti with Butter;120;Гарнир;Side Dishes;100
Спагетти с Морепродуктами;Spaghetti with Seafood;;Горячее;Main Courses;
Спагетти с Цуккини;Spaghetti with Zucchini;200;Горячее;Main Courses;200
Спаржа;Asparagus;25;Гарнир;Side Dishes;100
Спаржа на Пару;Steamed Asparagus;25;Гарнир;Side Dishes;90
Спаржа Обжаренная;Fried Asparagus;40;Гарнир;Side Dishes;
